ts	phase	decision	why	evidence	result
2026-09-13T15:40:33Z	frame	scoped the ship: 8 PR units, crew-soak + backend-gaps first in parallel	handoff phases mapped to landable units; migration test dropped per user	.audit/teammate-ship-plan.md	open
2026-09-13T15:40:33Z	frame	worktrees crew-soak + backend-gaps off main@dbd1745	separate-before-serializing: disjoint file sets, own branches	git worktree list	open
2026-09-13T16:00:41Z	phase2	sessions-list perf measured, not optimized	85ms p50 at 300 sessions vs 500ms threshold; N+1 is cheap inside DO SQLite	artifacts/verify-1789314894/sessions-list-perf/ + f4860a3	VERIFIED merged to main
2026-09-13T16:29:18Z	phase4	thread renders inbox/routine/compaction/model rows	synthetic evt:<cursor> turns reuse SystemEventVM lane; sentinel never renders	artifacts/verify-1789316004/thread-prompts/ + bac68e1	VERIFIED merged to main
2026-09-13T16:42:33Z	phase4	roster hydrates from GET /sessions; bot create posts real session	server sessions authoritative; localStorage keeps client overlay keyed by sid; group open no longer mints anon session	artifacts/roster-real/roster/ + 47c1a53	VERIFIED merged to main
2026-09-13T17:03:49Z	phase4	usage meter wired: meta fetch on settle, meter in composer	contextPercent prop resurrected; one fetch per settle	artifacts/usage-meter-run/usage-meter/ + b2b3d44	VERIFIED merged
2026-09-13T17:03:50Z	phase4	routines CRUD in bot details sheet	per-sid filter client-side; inline hints; routine fired for real during verify	artifacts/routines-ui-1789318523/ + 66cbb34	VERIFIED merged
2026-09-13T17:03:50Z	phase4	PRE-EXISTING BUG found by UsageMeter: POST /model appends model_change entry with no WS broadcast	cursor gap buffers live rows until reconnect; needs fix — model_change should broadcast or not consume a cursor	agent report + stream-engine.ts:127	open
2026-09-13T17:22:34Z	phase1	crew-soak PASS: 3 bots, 23 sends, 2 kill -9 restarts, zero backend bugs	all beats exactly-once, 28 msgs delivered with outcome cursors, cursors contiguous 1..282, zero open runs	artifacts/verify-1789319408/crew-soak/ + 54a18da	VERIFIED merged to main
2026-09-13T17:36:03Z	phase4	crew chat live: group create/send/read/delete over real routes, members replied via send tool	GroupPane polls groups/messages 3s; groups hydrate from server; user rows + member bubbles + per-member ack	artifacts/crew-chat-1789319084/ + 0986e31	VERIFIED merged to main
2026-09-13T17:48:12Z	phase4	cursor-gap bug fixed: all out-of-turn + headless entries broadcast	model_change/thinking/compaction/error rows + routine/inbox/headless turn entries now reach live sockets; verified contiguous cursors on a live stream	artifacts/20260913-225018/entry-broadcast/ + afb1dfc + b966144	VERIFIED merged
2026-09-14T01:20:12Z	gate	web gate green: all web-* features pass, group conversation live, routines UI + inbox render proven	drove real bots on shared servers; 0 console errors every pass; fixture-era steps superseded not failed	artifacts/verify-gate-1789322034/REPORT.md	VERIFIED
2026-09-14T01:20:13Z	gate	verify-ui.sh fixed: env never propagated + app sets no console global	baked URL/OUT into drive; Page.addScriptToEvaluateOnNewDocument hook captures console.error/error/unhandledrejection	/tmp/verify-ui-main PASS	VERIFIED applied to main checkout (.cursor gitignored)
2026-09-14T01:32:10Z	phase4	send-target fix merged with live proof	17/17 checks: group id/name/thread fan-out, user rows delivered-at-insert no wake, unknown-name spawn preserved	artifacts/send-target-fix/send-target/transcript.txt + 858f7dd	VERIFIED merged
2026-09-14T01:32:10Z	review	cross-model review flagged: model-stomp on open, delete-is-hide, user-black-hole, boot-cache, poll guards	reviewer found real defects; P1s fixing now, P3s folded into cleanup pass	/Users/keyur/.omp/agent/sessions/-.herdr-worktrees-pi-do-worktree-rapid-cloud-070e/2026-09-13T15-15-37-303Z_01a09b56-92d7-7724-a0b1-1a4662829dbc/TrailReview.md	open
2026-09-14T01:57:43Z	review	post-gate fixes merged: session tombstone delete + session-open simplification	DELETE route proven live (200->roster empty->entries 404); open fires zero claim/model POSTs; keyed turn confirmed; interrupted retry + poll guards + cluster key + boot retry	69c37ef + 0f8fbdd; artifacts/verify-1789350857 + verify-1789349927	VERIFIED merged
